DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2008,100.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2009,95.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2010,100.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2011,95.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2012,92.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2013,91.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2014,88.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2015,91.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2016,93.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2017,94,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2018,94,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2019,92.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2020,84.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2021,89.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2022,86.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2000,84.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2001,93.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2002,91.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2003,95.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2004,98,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2005,100,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2006,100.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2007,107.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2008,106.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2009,96.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2010,101.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2011,98.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EE,2012,100.9,
